instance,method,steiner_methods,randomization,status,time,obtuse_count,steiner_points,energy,p_bar,category
point-set_80_8383fead.instance.json,sa,,True,BEST,0.9612503051757812,25,72,86.00,1.165361864778532,A
simple-polygon-exterior-20_40_8ad14096.instance.json,sa,,True,BEST,0.4625515937805176,13,68,60.00,1.8896277702266717,B
simple-polygon_20_0dda68ed.instance.json,sa,,False,BEST,0.01578497886657715,0,14,7.00,6.368204302520087,E
ortho_20_5a9e8244.instance.json,sa,,True,BEST,0.04585981369018555,10,30,35.00,3.188119864416426,D
simple-polygon-exterior-20_60_6088b7a9.instance.json,local,,False,BEST,0.08912038803100586,30,2,61.00,0.0,B
simple-polygon-exterior_20_2a7302a0.instance.json,sa,,True,BEST,0.1018059253692627,6,39,31.50,2.715897508030469,B
point-set_80_837b0f11.instance.json,sa,,True,BEST,8.542995929718018,13,93,72.50,1.1499262641465438,A
simple-polygon-exterior_10_c5616894.instance.json,sa,,True,BEST,0.03232884407043457,3,34,23.00,2.944458565639583,B
point-set_10_4bcb7c21.instance.json,sa,,False,BEST,0.007215738296508789,0,12,6.00,3.736031204776312,A
simple-polygon-exterior-20_60_57cd1db6.instance.json,sa,,True,BEST,1.047266960144043,10,63,51.50,1.4865916805043395,B
point-set_60_ac318d72.instance.json,sa,,True,BEST,1.2989485263824463,0,78,39.00,1.3554121686881875,A
simple-polygon-exterior_60_ba2c82c0.instance.json,sa,,True,BEST,0.6531250476837158,23,62,77.00,1.9559547173325764,B
simple-polygon-exterior-20_20_4ddfa00e.instance.json,sa,,False,BEST,0.08878493309020996,0,38,19.00,2.1001494403757275,B
point-set_20_0c4009d9.instance.json,sa,,True,BEST,0.16275358200073242,16,49,56.50,2.07605934565011,A
point-set_10_7451a2a9.instance.json,sa,,True,BEST,0.009642601013183594,13,14,33.00,1.8059773283867164,A
simple-polygon-exterior_20_c820ed5d.instance.json,sa,,True,BEST,0.16689372062683105,11,46,45.00,2.5382909692577074,B
simple-polygon-exterior_60_8670ab75.instance.json,local,,False,BEST,0.12355828285217285,7,9,18.50,0.0,C
ortho_80_06ee55d4.instance.json,sa,,True,BEST,0.7251908779144287,20,60,70.00,3.540691275428702,D
simple-polygon-exterior_10_a5f0f2fc.instance.json,sa,,True,BEST,0.06856250762939453,2,35,21.50,1.7561178275472333,B
simple-polygon-exterior-20_60_28a85662.instance.json,sa,,True,BEST,2.740565776824951,38,81,116.50,0.8185775046320926,B
