method,steiner_methods,p_bar,steiner_points,energy,time
sa,"midpoint,mean_of_adjacent",0.7303916648856781,38.8646288209607,41.83406113537118,1.8595190121096814
sa,projection,1.08717225438834,53.373873873873876,56.722972972972975,2.0783873399098716
sa,"projection,centroid",1.0117889738292714,51.44347826086957,54.48695652173913,2.050837850570679
sa,"projection,centroid,circumcenter",1.084438430188202,50.372727272727275,48.11363636363637,1.606397481398149
sa,"projection,centroid,circumcenter,mean_of_adjacent",1.1291568930879876,49.51376146788991,51.62844036697248,1.4599413117137523
sa,"projection,centroid,mean_of_adjacent",1.0435008378743191,50.7847533632287,49.13228699551569,1.9064792346526689
sa,"projection,circumcenter",1.2077913434572507,51.64159292035398,54.192477876106196,2.0367492395164692
sa,"projection,circumcenter,mean_of_adjacent",1.2734893108799343,51.42465753424658,50.15981735159817,1.5860471954084423
sa,"projection,mean_of_adjacent",1.1311840744600739,53.607929515418505,55.16519823788546,2.2540080169224006
sa,"projection,midpoint",1.0393273090405488,52.03947368421053,54.27412280701754,1.9811902516766597
sa,"projection,midpoint,centroid",0.9865014043851295,49.25909090909091,50.05681818181818,1.4986058180982416
sa,"projection,midpoint,centroid,circumcenter",0.97113850367715,50.36199095022624,50.94570135746606,1.7143074279457196
sa,"projection,midpoint,centroid,circumcenter,mean_of_adjacent",1.0753243934383785,49.049549549549546,47.53378378378378,1.4279970682419099
sa,"projection,midpoint,centroid,mean_of_adjacent",0.957374343203018,49.91324200913242,49.58675799086758,1.5262198165127132
sa,"projection,midpoint,circumcenter",1.1512722437328484,50.88340807174888,50.21300448430493,1.6134362252838408
sa,"projection,midpoint,circumcenter,mean_of_adjacent",1.1635384110651157,49.77272727272727,50.45909090909091,1.367554942044345
sa,"projection,midpoint,mean_of_adjacent",1.0432774652357322,52.080357142857146,50.200892857142854,1.9626422364796912
