method,time,steiner_points,energy,p_bar
ant,1.0465287730128787,16.911983348201012,26.12682129051442,0.0
local,1.3612795786359029,15.148102648102649,21.6510374010374,0.12760609047266266
sa,1.7145437207228866,43.33621933621934,46.05483405483405,0.854588105980835
